src_port,dst_port,protocol,flow_duration,total_pkts,total_bytes,packet_rate,byte_rate,fwd_pkts,fwd_bytes,avg_pkt_size,min_pkt_size,max_pkt_size,tcp_flags,iat_mean,Label
38504,3389,TCP,359.07,28,5163,77.98,14379.01,14,2581,184.41,50,500,24,5.02,BruteForce
8080,443,UDP,229.93,7,3385,30.44,14720.91,4,1934,483.67,45,626,2,32.85,BENIGN
22182,80,TCP,4952.53,2940,338786,593.64,68406.65,2940,338786,115.23,40,120,2,0.12,DDoS
53,8080,TCP,1966.7,36,38636,18.3,19645.0,18,19318,1073.23,54,1590,16,54.63,BENIGN
28309,21,TCP,852.87,33,12141,38.69,14235.28,16,5886,367.91,50,573,16,25.84,BENIGN
26119,5957,TCP,9.05,2,98,220.84,10821.28,2,98,49.0,40,60,2,4.52,PortScan
443,53,TCP,905.34,6,3343,6.63,3692.48,3,1671,557.28,76,783,16,150.89,BENIGN
28107,53,UDP,607.94,35,31267,57.57,51430.21,19,16973,893.37,66,1169,18,17.37,BENIGN
80,8080,TCP,294.34,40,34374,135.89,116779.42,23,19765,859.37,58,1305,24,7.36,BENIGN
80,21,TCP,7404.59,11,12047,1.49,1626.96,5,5475,1095.18,40,1333,2,673.14,BENIGN
39441,21,TCP,758.57,97,21483,127.87,28320.49,48,10741,221.48,50,500,24,18.45,BruteForce
443,443,TCP,1369.01,34,13910,24.84,10160.55,16,6546,409.15,88,643,24,40.27,BENIGN
443,53,TCP,896.91,26,14723,28.99,16415.06,16,9060,566.27,40,688,24,34.5,BENIGN
80,80,TCP,646.07,5,3445,7.74,5332.12,3,2067,689.2,77,859,24,129.21,BENIGN
56395,3389,TCP,627.18,79,23272,125.96,37105.73,39,11636,294.59,50,500,24,21.65,BruteForce
47111,8080,UDP,799.32,18,13351,22.52,16702.83,11,8159,741.73,66,1070,16,44.41,BENIGN
6576,80,TCP,1027.42,3472,260843,3379.35,253882.17,3472,260843,75.13,40,120,2,1.47,DDoS
33354,21,TCP,675.92,88,18308,130.19,27086.05,44,9154,208.06,50,500,24,13.11,BruteForce
80,22,TCP,1046.04,20,7806,19.12,7462.36,10,3903,390.3,47,607,2,52.3,BENIGN
53,80,TCP,191.04,16,6104,83.75,31949.37,10,3815,381.55,68,543,2,11.94,BENIGN
53,8080,TCP,1268.3,45,37385,35.48,29476.23,20,16615,830.78,79,1268,16,28.18,BENIGN
53,53,TCP,144.67,26,8196,179.7,56647.45,12,3782,315.24,48,459,2,5.56,BENIGN
7329,80,TCP,4480.64,4735,533795,1056.77,119133.62,4735,533795,112.73,40,120,2,0.54,DDoS
53,21,TCP,443.81,23,17077,51.82,38477.24,11,8167,742.5,47,913,24,19.3,BENIGN
21450,9010,TCP,35.32,1,42,28.3,1188.7,1,42,42.7,40,60,1,35.32,PortScan
32942,9118,TCP,17.59,2,110,113.65,6250.51,2,110,55.05,40,60,2,8.79,PortScan
443,8080,TCP,1029.15,37,22263,35.95,21632.28,18,10830,601.72,74,743,18,27.81,BENIGN
53,8080,UDP,1536.01,32,13502,20.83,8790.25,16,6751,421.94,84,586,24,48.0,BENIGN
16906,3389,TCP,1005.6,41,8386,40.77,8339.3,20,4193,204.54,50,500,24,23.71,BruteForce
443,443,TCP,95.68,9,4256,94.06,44478.72,5,2364,472.94,59,724,2,10.63,BENIGN
48953,9344,TCP,34.62,2,88,57.76,2541.36,2,88,44.34,40,60,0,17.31,PortScan
53,22,TCP,700.04,33,32322,47.14,46170.79,14,13712,979.46,41,1322,18,21.21,BENIGN
80,80,TCP,550.6,49,14391,88.99,26136.37,27,7929,293.7,74,384,24,11.24,BENIGN
7861,1450,TCP,42.06,1,41,23.77,974.57,1,41,41.53,40,60,1,42.06,PortScan
8172,7767,TCP,30.05,1,42,33.27,1397.39,1,42,42.53,40,60,1,30.05,PortScan
53,22,TCP,634.09,7,5949,11.04,9381.75,5,4249,849.86,75,1152,18,90.58,BENIGN
80,443,TCP,350.02,29,7146,82.85,20415.64,16,3942,246.44,42,353,18,12.07,BENIGN
51729,1013,TCP,37.9,2,80,52.75,2110.15,2,80,40.23,40,60,1,18.95,PortScan
14133,443,TCP,577.12,48,13617,83.17,23594.19,25,7092,283.69,68,413,2,12.02,BENIGN
443,80,UDP,3522.12,13,2804,3.69,796.11,6,1294,215.76,89,333,18,270.93,BENIGN
8080,8080,TCP,1787.21,9,7849,5.04,4391.74,5,4360,872.19,71,1333,16,198.58,BENIGN
38028,443,TCP,3089.34,4688,387230,1517.48,125343.83,4688,387230,82.6,40,120,2,0.26,DDoS
19317,6365,TCP,20.52,2,115,97.43,5602.43,2,115,57.91,40,60,2,10.26,PortScan
53,53,TCP,542.46,13,9018,23.96,16623.95,7,4856,693.74,52,1022,2,41.73,BENIGN
32947,443,TCP,3980.99,2931,125426,736.25,31506.25,2931,125426,42.79,40,120,2,0.87,DDoS
8080,80,TCP,1185.65,45,10889,37.95,9183.95,27,6533,242.0,53,299,24,26.35,BENIGN
1694,443,TCP,929.17,4075,341784,4385.62,367837.09,4075,341784,83.87,40,120,2,0.19,DDoS
443,53,TCP,786.02,24,20910,30.53,26602.03,13,11326,871.27,43,1282,18,32.75,BENIGN
80,8080,TCP,1173.03,37,20544,31.54,17513.42,22,12215,555.26,47,830,24,31.7,BENIGN
28551,443,TCP,4650.65,1844,163860,396.5,35233.76,1844,163860,88.86,40,120,2,0.38,DDoS
61454,22,TCP,688.48,54,19522,78.43,28355.34,27,9761,361.53,50,500,24,8.66,BruteForce
53,21,TCP,561.33,37,37984,65.91,67666.92,20,20532,1026.61,41,1606,24,15.17,BENIGN
58820,8070,TCP,47.44,1,48,21.07,1011.53,1,48,48.63,40,60,2,47.44,PortScan
44908,21,TCP,961.2,9,2242,9.36,2332.48,6,1495,249.17,53,329,18,106.8,BENIGN
8080,53,TCP,615.12,5,2973,8.13,4833.09,3,1783,594.63,59,750,24,123.02,BENIGN
53,8080,TCP,2587.74,28,9563,10.82,3695.48,13,4440,341.55,57,528,16,92.42,BENIGN
6075,8080,TCP,981.87,41,30074,41.76,30629.13,22,16137,733.53,53,1014,24,23.95,BENIGN
45763,80,TCP,3931.01,3377,379114,859.07,96441.85,3377,379114,112.26,40,120,2,1.35,DDoS
51541,53,TCP,115.96,44,42346,379.4,365138.2,21,20211,962.43,97,1415,2,2.64,BENIGN
443,22,TCP,4600.54,6,6405,1.3,1392.23,3,3202,1067.62,42,1294,2,766.76,BENIGN
443,21,UDP,5693.27,37,13435,6.5,2359.8,16,5809,363.11,84,519,2,153.87,BENIGN
32051,80,TCP,4276.31,3572,370347,835.3,86604.3,3572,370347,103.68,40,120,2,1.16,DDoS
37825,80,TCP,230.09,46,26658,199.91,115854.33,20,11590,579.53,94,855,18,5.0,BENIGN
443,53,TCP,388.53,32,20249,82.36,52115.74,18,11390,632.8,47,832,2,12.14,BENIGN
28364,80,TCP,1184.22,4468,304259,3772.95,256928.08,4468,304259,68.1,40,120,2,0.23,DDoS
59250,80,TCP,3058.09,2004,118145,655.31,38633.57,2004,118145,58.95,40,120,2,1.05,DDoS
50367,443,TCP,1488.68,1583,168002,1063.36,112852.96,1583,168002,106.13,40,120,2,0.61,DDoS
15413,2576,TCP,49.8,2,98,40.15,1967.45,2,98,49.28,40,60,1,24.9,PortScan
80,80,TCP,755.29,41,10900,54.28,14431.35,22,5849,265.88,80,384,24,18.42,BENIGN
51137,3848,TCP,7.26,2,116,275.12,15956.75,2,116,58.33,40,60,0,3.63,PortScan
38569,21,TCP,204.27,44,22897,215.39,112087.75,26,13530,520.39,47,693,16,4.64,BENIGN
443,8080,TCP,1888.9,21,19787,11.12,10475.34,10,9422,942.27,66,1138,2,89.95,BENIGN
443,443,TCP,733.95,48,10090,65.4,13747.31,24,5045,210.22,43,262,18,15.29,BENIGN
12437,443,TCP,642.85,4891,285945,7608.34,444810.39,4891,285945,58.46,40,120,2,1.38,DDoS
8080,80,TCP,1333.87,39,8270,29.24,6199.94,18,3817,212.06,42,257,16,34.2,BENIGN
443,53,TCP,785.55,46,48176,58.56,61327.17,22,23041,1047.32,97,1636,2,17.08,BENIGN
53,80,UDP,102.96,21,6240,203.94,60600.1,12,3565,297.15,45,471,16,4.9,BENIGN
443,21,TCP,1154.22,28,8874,24.26,7688.25,15,4754,316.95,86,470,16,41.22,BENIGN
8080,80,UDP,2283.59,48,21322,21.02,9337.0,28,12437,444.21,61,582,2,47.57,BENIGN
10340,21,TCP,996.77,49,15585,49.16,15635.44,24,7792,318.06,50,500,24,14.63,BruteForce
50305,6338,TCP,19.86,1,50,50.32,2516.0,1,50,50.01,40,60,0,19.86,PortScan
51518,22,TCP,366.5,75,18952,204.64,51710.91,37,9476,252.7,50,500,24,14.79,BruteForce
57763,80,TCP,1861.16,4631,263228,2488.24,141432.56,4631,263228,56.84,40,120,2,1.23,DDoS
2917,21,TCP,704.76,70,26448,99.32,37527.49,35,13224,377.83,50,500,24,5.42,BruteForce
53,443,TCP,1908.85,32,22645,16.76,11863.08,16,11322,707.67,79,917,24,59.65,BENIGN
8055,80,TCP,4662.71,1439,115161,308.62,24698.29,1439,115161,80.03,40,120,2,1.07,DDoS
443,21,TCP,2964.49,43,28177,14.5,9504.8,23,15071,655.3,41,1014,2,68.94,BENIGN
11082,443,TCP,229.41,12,9015,52.3,39294.13,7,5259,751.32,83,937,24,19.12,BENIGN
443,53,TCP,1743.76,18,11503,10.32,6596.64,8,5112,639.07,90,861,2,96.88,BENIGN
42822,21,TCP,1286.81,41,11698,31.86,9090.72,20,5849,285.32,50,500,24,17.91,BruteForce
80,80,TCP,986.8,27,23828,27.36,24146.4,15,13238,882.55,85,1314,2,36.55,BENIGN
8080,443,TCP,1939.79,42,18864,21.65,9724.72,22,9881,449.15,94,576,18,46.19,BENIGN
53,80,TCP,1466.66,48,50063,32.73,34133.77,20,20859,1042.98,65,1655,2,30.56,BENIGN
31468,80,TCP,1472.27,1066,123896,724.05,84153.01,1066,123896,116.23,40,120,2,0.56,DDoS
4815,80,TCP,2012.03,2004,204148,996.01,101463.61,2004,204148,101.87,40,120,2,1.38,DDoS
80,53,TCP,625.37,25,23656,39.98,37826.7,13,12301,946.25,43,1149,16,25.01,BENIGN
36709,3389,TCP,330.68,68,11261,205.63,34053.68,34,5630,165.61,50,500,24,14.72,BruteForce
80,53,TCP,135.1,45,26313,333.07,194755.7,20,11694,584.75,87,779,2,3.0,BENIGN
51615,53,TCP,899.78,47,19342,52.23,21496.07,27,11111,411.53,72,521,16,19.14,BENIGN
53,8080,TCP,1574.14,25,12477,15.88,7926.17,13,6488,499.08,69,615,16,62.97,BENIGN
3561,2843,TCP,31.74,2,110,62.99,3464.47,2,110,55.32,40,60,0,15.87,PortScan
29169,8080,TCP,431.18,37,10833,85.81,25123.24,18,5270,292.78,88,464,18,11.65,BENIGN
46549,53,UDP,1246.8,37,19057,29.68,15284.59,20,10301,515.07,80,796,2,33.7,BENIGN
53,21,TCP,269.31,7,2859,25.99,10615.43,5,2042,408.5,78,589,18,38.47,BENIGN
53,53,UDP,246.52,31,26602,125.75,107906.98,19,16304,858.14,91,1360,16,7.95,BENIGN
53,53,TCP,304.52,15,6027,49.26,19790.91,8,3214,401.86,84,618,16,20.3,BENIGN
61345,3389,TCP,761.68,64,19007,84.02,24954.08,32,9503,297.0,50,500,24,13.53,BruteForce
53,443,TCP,1946.0,32,20668,16.44,10620.7,18,11625,645.88,74,1032,18,60.81,BENIGN
19436,6846,TCP,41.26,1,51,24.23,1235.85,1,51,51.15,40,60,2,41.26,PortScan
8175,8080,TCP,3234.37,31,21242,9.58,6567.56,15,10278,685.25,76,1018,18,104.33,BENIGN
9536,80,TCP,1136.54,27,20128,23.76,17709.8,16,11927,745.49,46,1148,2,42.09,BENIGN
26787,3970,TCP,23.38,2,86,85.5,3676.71,2,86,43.43,40,60,0,11.69,PortScan
8080,443,TCP,878.04,39,26652,44.42,30353.5,21,14351,683.4,84,938,16,22.51,BENIGN
